Entry,Exit,A,AB,B,BC,C,CD,D,DE,E,Days,Inverted,PerfMean,PerfStd,EntryLoad,ExitLoad,EntryDemand,ExitDemand,Distance
2023-08-05,2023-08-10,0,0,4,0,0,0,0,0,0,5,0,5.0,0.0,2,2,4,4,0.0
2023-08-06,2023-08-22,0,2,0,0,0,0,0,0,0,16,1,119.89285714285714,100.92866621166311,2,2,4,4,9.7
2023-08-10,2023-08-10,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0,2,2,4,4,9.42
2023-08-10,2023-08-11,0,0,0,0,4,0,0,0,0,1,0,1.0,0.0,2,2,4,4,0.0
2023-08-11,2023-08-21,0,0,0,0,0,4,0,0,0,10,0,10.375,0.5994789404140899,2,2,4,4,6698.14
2023-08-21,2023-08-23,0,0,0,0,0,0,4,0,0,2,0,2.0,0.0,2,2,4,4,0.0
2023-08-23,2023-08-23,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,2,2,4,4,15.06
2023-08-23,2023-09-07,0,0,0,0,0,0,0,0,4,15,0,15.9375,3.6309218870694533,2,1,4,2,0.0
2023-09-06,2023-09-06,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,2,2,9.7
2023-09-06,2023-09-11,0,0,2,0,0,0,0,0,0,5,0,5.0,0.0,1,1,2,2,0.0
2023-09-07,2023-09-07,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,1,1,2,2,15.06
2023-09-07,2023-09-09,0,0,0,0,0,0,4,0,0,2,1,2.0,0.0,1,1,2,2,0.0
2023-09-09,2023-09-21,0,0,0,0,0,4,0,0,0,12,1,10.5,1.0606601717798212,1,1,2,2,6698.14
2023-09-11,2023-09-11,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,1,1,2,2,9.42
2023-09-11,2023-09-12,0,0,0,0,2,0,0,0,0,1,0,1.0,0.0,1,1,2,2,0.0
2023-09-12,2023-09-22,0,0,0,0,0,2,0,0,0,10,0,10.375,0.5994789404140899,1,1,2,2,6698.14
2023-09-21,2023-09-22,0,0,0,0,4,0,0,0,0,1,1,1.0,0.0,1,1,2,2,0.0
2023-09-22,2023-09-22,0,0,0,4,0,0,0,0,0,0,1,0.0,0.0,1,1,2,2,9.42
2023-09-22,2023-09-24,0,0,0,0,0,0,2,0,0,2,0,2.0,0.0,1,1,2,2,0.0
2023-09-22,2023-09-27,0,0,4,0,0,0,0,0,0,5,1,5.0,0.0,1,1,2,2,0.0
2023-09-24,2023-09-24,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,1,1,2,2,15.06
2023-09-24,2023-10-09,0,0,0,0,0,0,0,0,2,30,0,15.9375,3.6309218870694533,1,2,2,2,0.0
2023-09-27,2023-11-12,0,3,0,0,0,0,0,0,0,46,1,119.89285714285714,100.92866621166311,1,1,2,0,9.7
